ID|Role|YearsExperience|Gender|Age|Strengths|Weaknesses|Opportunities|Threats
12|Master Gardener Volunteer|43595|Female|45-64|Connecting community members with gardening and food-growing resources|DIVERSITY and general outreach, long-term engagement of MGVs|Again: diversity (of ethnic groups, but also of income levels, gender, age). Also, food security, land stewardship|Threats to funding, of course. Other than retailers, I don't see that we have true competitors. If this program went away, there wouldn't really be anything to fill the gap
13|Master Gardener Volunteer|10+|Female|65+|Keeps me up to date on some new horticultural developments.|Not sure.|More educational activities.|Don’t know.
14|Master Gardener Volunteer|0-5|Female|65+|Demos|Bookwork|Individual progress|Time constraint s
15|Master Gardener Volunteer|43595|Female|45-64|Sharing the love of gardening with the community - conference, plant sale and library presentations. I enjoy learning from fellow gardeners.|Nothing comes to mind. As with any group, politics and lack of enough volunteers for a task come to mind. However, politics and personalities is what makes a group. We haven't experienced over taxation of our volunteers although some wait until the last minute to volunteer. These aren't weaknesses of the Program but of human nature. |Technology is always progressing and incorporating that into our paperwork, education and other aspects of the organization. Younger people will relate easily to technology. Older people will appreciate the help of technology.|First obstacle that comes to mind is lack of autonomy. Guidelines and rules are helpful in keeping a group on track but each region has its own strengths and characteristics. These should be embraced without choking the group into submission to be a cookie cut from the same cutter.
16|Master Gardener Volunteer|0-5|Female|65+|very much enjoy the educational component of the program|I think we are involved in too many small, very focused projects. The large number of projects creates difficulties for a relatively small association like ours with <100 members.|Sustainable gardening and education and support of the same locally and statewide.|We are having a difficult time attracting younger members. When people retire, then they are available for about 15 years before they are tired of the many demands MGV make of them.
17|Master Gardener Volunteer|0-5|Female|65+|Landscape course offered. Choose projects to be involved with. Educational programs.|Nothing to be eliminated. Still new to the program.|Become more involved with local community to help with diseased trees, etc. |No threats that I know of.
18|Master Gardener Volunteer|0-5|Female|25-44|Provide a good expanse of knowledge and share it with the community|Limits of what is counted as continuing ed|online reporting!|none
19|Master Gardener Volunteer|0-5|Female|45-64|Presents information to master gardeners who can supply to the public|I like how the program has been run, I like choices of volunteer opportunites. I don't find anything to change|I think joining more with other groups that have the same goals will strengthen, such as local organizations like Kettle Moraine Land trust or Wild Ones|I think wrong information that people get from the internet.  Competitors are probably the nursery owners but I think they could be an asset to spread more good information.
20|Master Gardener Volunteer||Male|45-64|I am actually of stepping out, after attending some of the volunteering stuff, at this time I have more than enough with my own two acres of perennial / wild gardens to maintain. |n/a|They don't include anything for your own community that have projects to maintain or improve.|actually learned more taking small classes at NWTC and Quahiums True Value in Shawano
21|Master Gardener Volunteer|0-5|Female|45-64|I am excited to continue learning and volunteer where I am able.  Maybe we have a place and I don't know but would like to be able to log on and see a list of volunteer opportunites that are always coming up.  I work very full time so something quick to know where help is needed would be nice!|Don't know enough really to comment other than the volunteer opportunities.|unknown|technology, need for use vs. set up in past?
22|Master Gardener Volunteer|0-5|Female|25-44|Education/Learning|Not enough online communication & coordination at our local level.  Volunteers feel lost.  Program Chairs feel like they’re not getting enough volunteers. |We should be more proactive as an organization to embrace & encourage environmentally sustainable practices.|Locally, the Wausau Area Garden Club & Thyme Keepers are competing organizations.
23|Master Gardener Volunteer|0-5|Female|65+|Serves the community|The structure, reporting, management and decision-making is opaque even though I have actively tried to understand it.  It is difficult to determine who to ask for what.|We could try to brand ourselves as the go-to site for public education. Perhaps we have but it is difficult to see.|Sourcing income given the competition for members' dues, public money, sales, etc.
24|Master Gardener Volunteer|0-5|Female|45-64|It has been a great learning experience.  I have met so many people in my local area that I would not have known.  Iam  so aware of the land veg, and all plant life eat more than I ever have been.  I also have helped out in local schools and local gardens.   Now I was given a acre of land to try new plants and vegetables on, dirt if a test area.    I feel I need more identification as I go out to the public.  I know iam in intern stage but would like to have maybe more of a visual for people.  For example a magnet sign on my car for going to locations, shirt, bag. Things that give people sign of my.   The program is great!  I think we need to work on getting more people interested ie milenials.  I think some of the master gardeners need s little pick me up.  I will when iam a master gardener I will make sure at events and things that the interns are given a Warner and helpful greeting and help with new programs.|More people, give it hours that younger people can attend   |Again to open up more opportunities that are sponsored   It is great what we do Nd and do many people are superseded when I tell them|I find that a lot of current mgv need to be a bit more friendly with the public.  Big garden stores like milaegrrs
25|Master Gardener Volunteer|0-5|Female|25-44|The amount of science supported information that is specific to Wisconsin is spectacular (i.e. learning store online). The master gardener volunteer level one classes were fantastic!! The promotion of community involvement is also good.  |.|.|.
26|Master Gardener Volunteer|0-5|Female|25-44| A|A|A|A
27|Master Gardener Volunteer|0-5|Female|45-64|To me, the program is highly depended on a few experienced gardener volunteers who have taken it upon themselves to be the leaders. Key, among this group is Claudia. I'm not sure I would have stayed in the Program without her projects and leadership|Perhaps more of an emphasis on educating youth.  Even though there is a time requirement, I think we should sponsor the Scouting Merit Badge and perhaps enter some science classes|Create a nature walk around the Neville, stemming from the new garden.  Conduct periodic walking tours for kids during the summer and a patch in the back could be for the scouting Merit Badge|Threats:  Dependent on a few skillful volunteer leaders; age of members. If we strengthen the educational component we might be able to secure some grants for additional funding
28|Master Gardener Volunteer|0-5|Female|45-64|  The knowledge learned in the course was valuable,PLEASE consider more hands on learning, whether at Boerner or in other gardens.Wide range of topics offered for CE’s is great!|Once the plant sale preparation is under way, it would be very nice if only those who choose to be involved would get the VERY frequent emails. The amount of emails generated in general seems a bit excessive .|Please continue to offer a wide range of experienced speakers|I question how long this organization will be able to have as their fundraiser plants from private gardens as long as the threat of worms continue to be discovered statewide. I have heard it said many times from others that they will not purchase from the plant sale. It is just a matter of time before the gerneral public will be reluctant to purchase as well
29|Master Gardener Volunteer|10+|Male|45-64|Good volunteer opportunities. Community education programs are excellent|"Too many people with too many differing opinions on small matters. It's like living in the ""real world""!"|Continue to be involved in community education in an ever-growing capacity.|Tough to get young gardeners involved, although Millennials are starting to wake up!
30|Master Gardener Volunteer|0-5|Female|45-64|Volunteers Knowledge of gardening practices and plants|No central focus/direction.  Old role as garden maintainers instead of teacher/consultant.  Lack of volunteers willing to do more than bare minimum.  Reputation as needing garden expertise to join|More teaching garden classes for community, speaker guild, directed walks at parks or vols gardens, |Poor online pages.  No interconnected cty relationships.  No consistent policies.  WI Garden Club as competitor. Lack of consistent level 1 classes in some counties.  Aged volunteers base. 
31|Master Gardener Volunteer|0-5|Female|45-64|Spreading beauty to Wisconsin, encouraging pollinators, butterflies, birds, etc. and helping others to do the same.|The only thing to improve is to have the ability to pay dues online.|More butterfly habitats to help populations that are in dire circumstances.|Global warming is a threat to all gardens and wildlife.
32|Master Gardener Volunteer|0-5|Female|65+|Educational enhancement is excellent |Paper redundancies|Increased use of technology for dues collection and membership lists|We have an aging group.  We need to encourage younger participants 
33|Master Gardener Volunteer|0-5|Female|25-44|Educates and advocates in the community|The education requirements for volunteers is difficult to accomplish, the projects to work with cater to retired folks and teachers who are all free during the day in the summer, its difficult to find projects as a young working adult|There is a strong back to the land movement going on with the younger demographic, this has the potential of pulling folks into the program|available resources for younger demographic
34|Master Gardener Volunteer|43595|Female|45-64|Has good volunteers|MG seen to go unnoticed,  Mother umbrella seems very disorganized.  Need some good educators now that they are all gone.  Go back to a majority of training in person not online.|not sure|Not being able to attract MG.  Count seems to have gone down
35|Master Gardener Volunteer|0-5|Male|65+|Youth programs and continueing education|Transparency, county association board does not release minutes or provide any feedback to the membership. A clearer set of rules and regulations from the state office would also be appreciated.|Provide local school teachers with in class support for horticultural topics.  |Turnover due to aging membership,people who are not retired due not have the time to devote.
36|Master Gardener Volunteer|10+|Female|65+|Volunteer opportunities in community doing what I enjoy.|Most volunteers in my sphere tend to be older with little or no new young people joining due to family and work.|Youth!!!  Young families looking to make healthier choices.  Intergenerational workshops or classes.|People in my area see us as a bunch of retirees.  For youth our competitors are 4-H & Scouts.  Maybe a youth Master Gardener program in those organizations would be beneficial not just one time experiences.
37|Master Gardener Volunteer|0-5|Male|45-64|helps educate the public/serves community|i would improve the initial training to emphasize science|there is an opportunity to support efforts by the people who work in the Farm to School programs-this should be a point of emphasis|no competitors really, the only threat to the program is political
38|Master Gardener Volunteer|0-5|Female|65+|Educating and interacting with the public|Some programs are strictly maintenance, not educational. Too much focus on fundraising without member input.|Healthy food movement. Jioining forces with or including foods classes for utilizing fresh produce. Focusing on trends toward urban, rooftop, and window gardens as well as the large small town or rural gardens. Joining forces with schools to teach children about healthy foods and growing even tiny amounts of their own healthy food.|Unsure
39|Master Gardener Volunteer|0-5|Female|45-64|I am new to the program, the course was very good.|Unable to answer|Unable to answer |Don’t know
40|Master Gardener Volunteer|43595|Female|65+|learning about plants that I grow and eat, going to different gardening events|i can't think of any weaknesses|Enjoying the membership of our group, being able to learn how to talk to large crowds|I can't see any threats
41|Master Gardener Volunteer|10+|Female|65+|Provides great educational opportunities to its members|I have never understood why we are involved in some of the gardens that do not appear to be open to the general public, such as nursing homes.|Be more accessible to the public to answer their questions and concerns regarding gardening.  I have friends and neighbors that never knew the depth of info and knowledge that is available to the public.|the demise of small run nurseries who may actually tell you about resources at MGV and the increase of big box selling plants with minimal knowledge.
42|Master Gardener Volunteer|0-5|Female|25-44|I'm a pretty new master Gardener (my first official year) and I really enjoy all the information that's available to us either online or other members who are more seasoned than I am.|I can't think of anything that jumps out at me but sometimes our local meetings run pretty late and it's hard because it's during the week and I have to work the next day. Our start time is 6:45 and sometimes I don't leave there until 9:30pm.|I think the master Gardner's need to reach out to the younger generations and get them involved. I'm one of the youngest volunteers at 26 and there's probably a 10-15 if not more age gap between the other members and I.|None that I can think of. In our area we don't have anything similar to this program.
43|Master Gardener Volunteer|43595|Female|45-64|Allow master gardener volunteers to work within their communities assisting with garden beautification, native landscape restoration, and other value-added projects.|Provide support for county extension agents in the way of additional programmatic support for building the master gardener program. Often times the county extension agent is overextended and can't provide the support needed to the ground. It would behoove the program to add additional staff in the way of part-time employee who could provide on-the-ground planning with the master gardener cadre under the direction of the county extension agent.|Provide funding and technical assistance to design table top displays that can be used to go to market this opportunity at fairs, etc. This will strengthen the brand image of the program and help with recruitment. I've seen creative designs from different master gardener groups throughout the state. It would be helpful to have one design instead of dozens. Additionally, provide some latitude for county extension agent projects that master gardeners can do. Our master gardener group works on projects throughout a two-county area and helps numerous small community garden projects. It was recently proposed that there would be more restrictions on project selection. This could impact our rural communities adversely by restricting the number of projects we can assist with. |There may be opportunities to collaborate with the Wisconsin Master Naturalist program. We have crossed paths with their volunteers at projects more recently. Perhaps this is an opportunity to cross-pollinate? Not sure what the mechanics of this would look like.
44|Master Gardener Volunteer|0-5|Female|45-64|Opportunity to get involved in various aspects of our local community|I'd like to see a lot more educational programs.|I think the more we can learn the better we can educate our community|Don't see any competitors just internal obstacles of a little disorganization and lack of documentation (reinventing the wheel on various projects)
45|Master Gardener Volunteer|0-5|Female|65+|Education on varies issues. Friendly people. |Communication. |Community involvement and education|Leadership from the Extension
46|Master Gardener Volunteer|43595|Female|45-64|The Volunteers|Communication between State and Associations. |More involvement in community, |Need younger volunteers, program seems geared to older people 
47|Master Gardener Volunteer|10+|Female|45-64|Coming together with fellow gardeners to provide education for the community.|The ridiculous requirement of submitting social security numbers to a private, for profit company to conduct background chekcs.  Our county lost over half of our volunteers and we have had to drastically cut back on our programming.|Interest in vegetable gardening.  If we had more master gardener volunteers we could incorproate veggies into display flower gardens.  But since we lost half of our volunteers, we are abandoning many of our established flower beds around the county.|Biggest threat - requirements from Madison that hinder instead of support county based programs
48|Master Gardener Volunteer|10+|Female|65+|Does well: sharing research based information with gardeners; Excites: Gosh, almost everything!!|Can’t think of anything at the moment|Educating public about effect of climate change; promoting better use of resources; |Competitors: “google it”!! It really isn’t an obstacle as such, but I field so many inquiries about “home made” concoctions. So, if we are in the forefront of information and web searches that would be good.
49|Master Gardener Volunteer|43595|Female|45-64|Always learning new ways to improve my gardening expetiences and relaying that information to others.|I'm not always selected for projects I volunteer for, even though i provide a prompt response. I feel that perhaps I need to send a bio along eith my request or perhaps I'm not in the right clique.|Home trial gardens, encouraging more edible landscaping, therapy gardening|When volunteer opportunities arise, perhaps a deadline to respond, so everyone has an equal opportunity. Some slots get filled before opening the email!
50|Master Gardener Volunteer|0-5|Female|45-64|Unite us as a community to be knowledgeable & support needs in our community|Tracking hrs- improved already|Need more volunteers- & assess needs of community for different ways to volunteer|Uncertain
51|Master Gardener Volunteer|0-5|Male|45-64|providing direct support to community members thru personal contact and concierge type information with direct answers to problems and interest items |Additional online resources- you can never have enough|online access is wonderful but potential is unlimited|local gardening clubs which do not apply same restrictions such as jumping worm identification
52|Master Gardener Volunteer|0-5|Female|65+|The program trains mgv’s and provides excellent continuing education. |Funding for all the great ideas is an issue. There doesn’t seem to be a focus or direction. And my pet peeve is the expectation that we do landscaping tasks without the equipment of a landscaper. |I haven’t been around long enough to see the future. |I don’t see many direct competitors. Nobody else does this stuff for free. However, most volunteers find a lot of demands for their time. 
53|Master Gardener Volunteer|0-5|Female|45-64|Education|Unwillingness of older members to embrace new ideas|Embrace social media|In Wausau, we are in competition with Monk Garden.  We don't have brand identity and outsiders think we are one in the same. 
54|Master Gardener Volunteer|0-5|Female|65+|The classes taken in order to become a Master Gardener Volunteer were excellent.  There is so much information.  I wish I had taken this class many years ago.  I have met many people with interests like mine and enjoy doing projects with them.  I am always learning something new.  I have been involved in our plant sale in research, selection and sales.  Our proceeds allow us to offer classes to the public which always appear to be well attended.  I have been working at the Garden Door in both the Fairy Garden and the Raised Bed Garden.  Socializing with all of the other gardeners has been a wonderful experience for me.|I realize that many of our volunteers are in my age bracket range.  It would be nice to be able to draw younger people.  I suspect that this could be due to the fact that our entire area's population is older on the average.  I am also just thinking that many younger people are still working and have families to care for.  This might be the reason why we don't see a lot of participation by younger people on the peninsula.  Personally, I am not involved in this program with 100% of my time.  I pick and choose what I participate in based upon my time and whether or not I have to drive a long ways to attend a gathering or an assignment.  |I have only been involved for what will be 3 years.  I don't feel I have the expertise or knowledge needed to address this.|I am currently unaware of any obstacles or competitors.
55|Master Gardener Volunteer|0-5|Female|25-44|I have really appreciated the leadership from the WI Master Gardener Program; it has greatly expanded the relevancy and applicability of Master Gardeners in new and exciting ways (hort. therapy, placemaking, etc.)|I call MG a legacy program, and because of its age it can be difficult to encourage proactive development at the WIMGA level of partnership.  I think local associations have more power to decide on action based on new materials from the program, whereas I have trouble identifying the roles and benefits of WIMGA at this current time.|Keep up the relevant programming!  It demonstrates a greater/better outreach to varied audiences, and the new content is also strengthening and expanding ongoing areas of impact (local food systems, native habitats, etc.)|There are no competitors in my neck of the woods.  The biggest threats would be internal, like if the program had to significantly up fees for revenue or could not advise local associations on considerations like liability.  My community members have time and a willingness to learn, but not always the cash or knowledge for leading an association totally independently.
56|Master Gardener Volunteer|0-5|Female|65+|diverse areas of participation|easier way to record hours|need more young people|spring city garden clubs
57|Master Gardener Volunteer|43595|Female|65+|It provides us with continuing education.|It needs to give more help to smaller clubs attract and train new members.|I think there may be new opportunities out there, but by computerizing everything, you become less flexible.|I think the chemical companies are infiltrating gardening organizations so they can sell more Roundup.
58|Master Gardener Volunteer|43595|Female|65+|Connection and collegiality with folks who share common interest of gardening. Provides multi-faceted ways to learn. Offers ways to give back to community.|Please provide an overall nonzprofit structure for us to be under. Please provide simple clear policies for each county, city, or district with simple guidelines for operating ad a MGV entity. We should not have to reinvent or figure out separate organization stricture.  I would also like to ADD trackimg of volunteer hours for maintenancr of MGV desined and implementd gardens.|Development of pollinator corridors along the lines of Aldo Leopolds philodophy.  Inctease grant monies for devrlopment of new projects. Take a serious look at recent info about glysophate. We need to be better stewarfs of our land and groumdwaters|Money to do local things. We shouldnt have to spend valuable volunteer time to raise money. Obvious competitors are landscape businesses. We should offer to partner with those entities as consultants or advisors.
59|Master Gardener Volunteer|0-5|Male|65+|Learning|Too many women involved, meetings go on too long|None|Don’t know
60|Master Gardener Volunteer|43595|Female|65+|Learning from other MGV’S, sharing knowledge with others in community.|It’s difficult to know what local volunteer opportunities are available and who the contact person is.|I’d like to see more emphasis on pollinater preservation, sustainable gardening.|I think we’re an organization of elderly women. We need to find a way to attract more young people.
61|Master Gardener Volunteer|0-5|Female|45-64|I love to learn and be able to give back to my community.|I think programs and program criteria should be the option of the county Master Gardener program not the state, as all counties have unique needs and possibilities for community services.  I think the MG program should allow for unique circumstances of inputting learning hours & volunteer hours. It seems that those items are becoming stringently set in the State MG Program.  As in each group being having to have set projects that allowed to be considered as volunteer hours.  In my opionion, the more red tape & over involvement on a state level is going to lead to less MG vounteers and more MG County programs switching to private entities.  Everyone is tired of government involvement.|"I don't really see opportunity--Personally, from what I have heard regarding the ""new"" MG program, I see it shrinking.  It seems the writing is on the wall that the power of the MG Program is switching to a state level vs. staying at the County level with the people who make the program what it is.  It is not about the administration--it is all about the workers, and the workers can volunteer on their own, they don't need the MG Program to continue on that avenue."|answered in previous question.
62|Master Gardener Volunteer|43595|Female|45-64|Gets information to you and others quickly. Great resource of information. The level classes are worth keeping. With the leadership we have now there is no excitment.|The paperwork we are given to do,  getting involved with the community is a good idea nut we are volunteers and some are retired. They dont want to do that work anymore. .|Maybe make it easier to become a volenteer,seems to be stressful for the new members coming in how would a youth program work? We need younger ones involved so they are able to take over in the future. Downsize the program and pick their brains for a different angle |I didnt know we had any
63|Master Gardener Volunteer|10+|Female|65+|Provides an opportunity to volunteer with others who share a passion for nature and gardening. The project teams I have served on have been recognized for our work and that is very rewarding. Our project leader does an excellent job of scheduling to accomodate those retired and still working.|I am not in a leadership situation but I could see more restrictions and micro managing down to the local team projects might be cause for concern.|I am involved in a few native garden projects and it is encouraging to have people ask questions and attend the open houses that we have offered to educate the public on the benefits of incorporating native plants. I think this is important and would love to see this become a trend.|N/A
64|Master Gardener Volunteer|0-5|Female|45-64|So far there is not a lot of rules and structure from UW and I like that we have some flexibility on what we do.  What excites me is doing things for the community, the learning, the access to people that can help me answer my questions that have more experience and the friendships that I am forging.|I would avoid having TOO much structure that would limit our enjoyment in what we do.  Rules and structure are important but we don't want to curb creativity in coming up with new projects or ideas to further our individual groups.|Sharing ideas from groups.  We can all benefit from others experience in things that they have done or are doing that are successful or what were not so successful.  Imitation is the sincerest form of  flattery.|"I am fairly new to our group and our group is not that old (only 11 years) and I don't see that we have any competitors or real obstacles.  But that  might be because we are small.  We are just now starting to get our ""name"" out there in the communities."
65|Master Gardener Volunteer|10+|Female|45-64|I love having the opportunity to identify and develop new community outreach programs to help fulfill our mission.|I think there could be better support and communication from the Extension Office. At times, it seems like the relationship is more contentious than supportive. It would be very helpful for MGVs to be recognized for their valuable contribution to the organization and the community. While I think it's a fantastic idea to look at additional ways to offer MG training/certification, I hope that the MG Program continues to offer the group class setting, which provides numerous signification benefits to our local MG Program.|Implement additional ways for people to become Master Gardeners. Recognize and embrace the changing interests in gardening, including sustainability, organic practices, soil building practices, permaculture, etc. |The aging boomer population is a big threat -- we need to find a way to attract younger people into the program and they will require flexible scheduling options. We need to survey them to find out what they think about our organization and what would make our program more appealing to them. The minimum time commitment of volunteer and education hours really scares off younger people who have a family and they don't even consider becoming a MG because of that requirement. We need to find a way to embrace new MGVs even if they aren't able to commit as many hours initially. Over time as they age, their schedules will become more flexible. We have a couple of big competitors: 1) organizations that focus on more 'current' interests, such as vegetable gardening, sustainable gardening practices, etc., and 2) organizations that do not have as much of a bureaucratic overhead and require such a large time commitment. I'm afraid that we have a reputation of being a bunch of old people who happily maintain our massive flower gardens, and that's just not how people are gardening nowadays, so we need to work on our image.
66|County Coordinator/Educator|0-5|Male|25-44|This is a good programming opportunity for those with a passion for gardening and plants, it fits a niche that exists not reached by any other programs through extension or elsewhere.  |The current training being in person and lecture based is both structured and feeling outdated, having the option for web based modules or multiple forms of training available would be an improvement and help to add flexibility and draw a younger participation audience.|There is definitely opportunities to add more farmers market based, and direct marketing business training components to the program. |Obstacles include format of the training and when it is offered, it lacks the flexibility needed for future generations to have time to participate.  The program currently is, right or wrong, associated with older retired audiences, not younger home owners who would like to garden, or start a CSA, farmers market side business 
67|Master Gardener Volunteer|0-5|Female|45-64|It provides useful information/education to gardening enthusiasts and those interested in discovering gardening. It provides fulfilling volunteer opportunities for gardeners looking to give back to the community and meet other gardeners. |I would like to rethink the parameters around the CE hours requirement. It seems that some of the sanctioned classes/talks/shows are not as good as reading a good book on a topic that particularly interests me.|Allow community volunteers to participate in gardening projects along with MGVs. It does not take a year of training to know how to weed a garden and a more welcoming attitude may lead to more interest in the program.|There seems to be a lot of paperwork and concern about bureaucracy
68|Master Gardener Volunteer|0-5|Male|65+|Comprehensive information on all aspects of gardening|"Change the name ""Master Gardener."""|Huh?|Huh!
69|Master Gardener Volunteer|0-5|Male|45-64|The program is an excellant educational tool.|The program seems designed for those people who do not work.|None at this time.|Again, for those working full time plus jobs it is difficult to get all the volunteer hours completed.
70|Master Gardener Volunteer|10+|Female|65+|Provides education to local volunteers, gives us a place to go to find information for the public|I am in an extremely rural area where there are few volunteers.  some of the new directions the program is taking seem to not apply to us.  Reporting is tedious but maybe the new system will improve that altho we do have members who are not computer literate|I think in our unpopulated areas we need to incorporate help from the community more.  After you are in the program for a long while, the educational opportunites seem redundant|"I do not know of competitors, only that people often prefer to garden, even if working in public settings, without the hours reporting and background checks, etc., of the program.  The only other groups doing similar things in our area are ""garden clubs"".  They often do similar work with no other requirements except to show up when they please and pitch in."
71|Master Gardener Volunteer|10+|Female|65+|I like the opportunities to work with other MGV’s on local civic projects.|The slight affect/occasional implication that Dane Co MGV’s are more special than the rest of us. (Yes, that sounds petty, but, like, was there really a reporting form just for them, first, on the website?)|We need more information on how to deal with climate change, and how to promote adaptions like no-till farming and other soil-building and erosion control, and also less use of pesticides and chemicals fertilizer, and more respect for soil and pollinators, etc.   I would like more information on conventions and educational programs.|Obstacles - Time, transportation, housing, communication.  Competitors (most of whom could be allies/partner/cosponsers) - the Prairie Enthusiasts, Wild Ones, Land Conservancies, local garden clubs
72|Master Gardener Volunteer|43595|Female|45-64|Community involvement with the local schools.  Our school gardens educate and inspire our youth to be future gardeners!|Provide a more in depth educational program for its members.|Provide a program for young gardeners beyond the Jmg age (which caps at age 10 or 11)|In our community Green thumb would be a competitor
73|Master Gardener Volunteer|0-5|Female|65+|The emphasis on science - research, locating information, need to document service hours, establishing projects that support our changing enviorment, friends who have similar interest.|There’s such a wide range of abilities...that’s a plus and a minus. How to enthuse those who are new to take on the MG mantle. And conversely, help those who have a lot of knowledge to be patient...to understand that most of us like to learn and continue learning.|We must respond locally to climate change.|I don’t know...
74|Master Gardener Volunteer|0-5|Female|45-64|The MG Program connects me with people who have similar passion for growing plants, flowers, vegetables, and trees.   I have met people in my own city that I would never have met otherwise.  These friendships have led to trading plants, fun-filled tours of each others garden and much conversation|The program seems soooooo old.  I'm in my early 50s and many of my fellow program members are retired.  They want to have meetings in the daytime when I work.  And the way we each look at things--approaches to programs, etc--is very different.  But the biggest issue I see overall is a lack of modern technology -- no dynamic website, blog, Facebook, Instagram.  I love the fact we now have an online hours reporting system.   I would feel better if the entire organization embraced a more modern methodology to sharing information.  It would also be great to have the ability to try create new programs to support cool locations.  Perhaps embrace a beautification program that created key points of natural glory at city entrances?  Make our contributions more public.  More noticeable.  |Embrace modern technology.  Web sites.  Social media.  Web-based programming and learning.   These opportunities provide--on-line Master Gardener training that could increase membership.  Allow a Master Gardener Volunteer to remain a member in his/her hometown and contribute.  Bring in a younger group of people as video and on-line learning is the way they are used to learning.  Having training in a video format lessens the large responsibility for the Education Chair--a challenge we are seeing in our own Chapter.   It also provides the ability to offer classes MORE OFTEN, allowing for MORE MEMBERS, in a way that MORE PEOPLE can continue to connect.  How about providing a life feed of the education presentations at meetings through a sign on, on-line portal for members only?  A facebook and/or Instagram account allowing Master Gardener Volunteers to brag and show what is in their own garden.  Web-based interaction allows for greater interaction between states or even local in-state chapters.  We just need to get more modern.  |Our chapter is mostly retired individuals.  I appreciate them and enjoy being part of a diverse group.  However, the group feels old.  I didn't see it as clearly until I finished the classes and went to meetings/events regularly.  In comparison, I see my local gardening group (Cedarburg Gardening Club) recognizing they are in a similar position and reaching out to groups of younger women and personally inviting them to meetings as a guest to check it out.  Existing members actively reach out to these guests and engage with them.   We don't have that ability.  
75|Master Gardener Volunteer|10+|Female|45-64|Well organized for a large group, not that the communication can be better but for a large group it is good. I like the number, variety of ways to volunteer.|Communication. I avoid the the complainers, people that want the program organized to their specific desires.|I think youth education is important |If reporting, volunteering, getting education requirements are to much of a burden you lose your base.
76|Master Gardener Volunteer|10+|Female|65+|Education and volunteering together - how can anything be better?|Public relations is a weakness - promotion of the program on going is needed.|Next generation gardeners want a new garden ethic.  Nights and weekend programs necessary to interest this group.|Internet self education is both good and bad for traditional educational programs.  Improve internet programming. 
77|Master Gardener Volunteer|0-5|Female|25-44|Provides excellent education, provides valuable gardening services to nonprofits/the community|I am new to the program, so hard to say exactly, but so far, many of the volunteer opportunities I have seen are not geared towards those who work full time (eg. I have a regular job, so cannot volunteer at 9 AM on a weekday). This seems to gear the program more toward those who are retired or not working full time. If you would like to increase the age diversity of master gardeners, the diversity of times that opportunities are available would also have to be increased.|I'm not sure|State funding always seems to be an obstacle. Attracting a more diverse group of people is probably also an obstacle - it is a little difficult for me to feel welcome as a 33-year-old in a group that feels like is majority retired people, even if we do share a common gardening interest (see earlier comments about timing of events). I can see how ethnic minorities would also have trouble feeling welcome in such a group.
