ID|Document_Name|Segment|I_HDR|I_CD|I_HWB|I_PYD|I_AG|I_NR|P_Beef|P_Crops & Soils|P_Dairy|P_Discovery Farms|P_Farm Management|P_Horticulture|P_Swine|P_Org Lead Development|P_Local Government Education|P_Community Food Systems|P_Community Economic Dev|P_WGNHS|P_Upham Woods|P_Land & Water Program|P_Lake Superior NERR|P_Parenting / Family Engagement|P_Aging / Lifespan|P_Financial Capability|P_Behavioral Health|P_HEAL|P_CYD|P_WI 4-H
16|Plan Commission Workshop 2019|Waukesha County Extension has provided educational workshops to Plan Commission Member since 2011. In partnership with Waukesha County Planning Department, workshop topics are chosen to meet the needs of Plan Commission Members. Topics have included: Plan Commission Basics (offered twice); Land Use Decision Making Using a Sustainability Framework; Conservation Subdivision Design: Environmental Merits and Barriers to Implementation; Tax Increment Financing - New Perspective for a New Era; and Balancing community values, Local discretion & new state rule on conditional uses. The 2018 workshop evaluation showed that by attending the workshop, 69% of participants increased their knowledge of the workshop topic by 50% or more after attending the program.|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
17|Green Industry Training Program|The Green Industry (Greenhouse growers, lawn and landscape services, urban forestry) in Brown County is strong and growing, providing services and products to the ever expanding urban public. According to a Wisconsin agriculture and economy impact report in 2014, the horticulture business in Brown County has generated $6.3 million in economic activity, providing thousands of full-time and many seasonal jobs. This lucrative industry has an increasing need for educational programs on sustainable Green Industry practices and diagnostic services. They are listed as two of the top five educational needs at various short course program and Greenhouse growers' seminar evaluations. Sustainable Green Industry practices improve the environment by conserving resources, reduce chemical applications, save labor costs and improve the safety and health of the employees.|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
18|Crops and Soils 2019|The past five years have seen margins on cash crops decline from all-time highs. At this same time farmers are seeing rapid increases in new technologies, that may or may not be profitable to adopt at this time, increases in herbicide resistance in weeds. There continues to be an increase in the number of acres of cash grain crop production in Monroe and the surrounding counties. With tight margins, many farmers are seeking unbiased information on crop management practices and pest management. Soil conservation, quality and nutrient management are also topics of great interest to farmers, especially ways to control input costs and maximizing returns in these areas. Observations and discussions with farmers regarding crop production have indicated that there is a need for unbiased information regarding risk management, best management practices and integrated pest management. There is also a need for updated basic crop marketing information to help producers help make it through the current economic situation. Farmers still get a lot of pressure from some sales people to purchase inputs that may not be most profitable for the farmer. There is an increase in herbicide resistance problems in the area , in particular increased incidences of waterhemp in fields , that require changes in management practices.Discussions with Land Conservation personel and Department of Agriculture Personel have also indicated an increased need for nutrient management planning in the area.|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
19|Soil Conservation|Situation StatementThe average age of farmers continues to increase in Trempealeau County (USDA, ERS, 2017). Finances to start a new farm business are often challenging for people that do not have an established family farm to work into because of the high value of land and buildings. The value of land and buildings in farms in Trempealeau County increased from $892,303 in the 2007 census of agriculture to $1,033,131 in the 2012 census of agriculture (USDA Census of Agriculture, 2012). Purchasing an existing farm is out of reach of many people that desire to start farming. Economics in commodity agriculture have been extremely bleak for the last five years as corn, soybean, and milk prices have been at or below the cost of production for most farmers. Adding value through direct marketing of farm products and agritourism are ways that existing or new farms can generate more revenue and profit. Needs analysis conducted with key stakeholder groups has highlighted the need to bring new farm businesses into Trempealeau County while enhancing the ability of farms to be profitable for the operators of the farms. Direct marketing of agricultural production can take many avenues as the commodities produced are varied. Some commodities may require processing to market direct while others may be sold without processing. Licensing requirements will vary from none needed with fresh vegetables at farmers markets to many with a dairy commodity such as cheese or ice cream. Setting up a direct marketing agricultural enterprise can be daunting. People need to enter the process fully aware of the requirements and challenges ahead of them. Soil erosion and soil health is a concern of partners and stakeholders of Trempealeau County UW-Extension as shown in key stakeholder needs analysis. Dairy farm numbers have decreased in Trempealeau County and more corn is grown in the county. Data from the Census of Agriculture show 195 dairy farms with a total of 21,373 cows in Trempealeau County (USDA, National Statistics Service, 2012) down from 733 dairy farms and 33,144 cows in 1987 (USDA, National Statistics Service, 1992). This shift in dairy production has left land available for row crop production. With less perennial forage crops needed in the rotation, the cropping system has become one of continuous corn. Corn acres have increased 48% from 1987 to 2012 with 63,966 acres of corn planted in Trempealeau County in 1987 and 94,597 acres of corn for silage and grain in 2012 (USDA, National Statistics Service, 1992, 2012). No-till planting carries a yield penalty with continuous corn, so tillage is performed to maintain yields (Wolkowski et al., 2009). Methods to increase soil health and increase crop yields are needed in Trempealeau County. Program priority #2 will address these issues in the county.|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
20|Aquatic Invasive Species Outreach|Aquatic invasive species (AIS) negatively impact Wisconsin through their ability to harm aquatic ecosystems, the economic value of those ecosystems, and human health. During 2019, the updated Wisconsin Aquatic Invasive Species Management Plan will be approved by the US Fish and Wildlife Service and the national Aquatic Nuisance Species Task Force. The updated plan is focused on the pathways AIS take into Wisconsin's waterbodies, such as organisms in trade, non-recreational fishing and aquaculture, and those who recreate in state waters as well and those who provide services where they touch lakes, rivers, and wetlands. Our AIS Outreach staff are working closely with WDNR Monitoring staff to identify how AIS are moving into and throughout the state, further developing our AIS picture, and in turn, helping the WI AIS Partnership develops actions to reduce the number propagules in transport.New and updated communication tools and outreach strategies will be needed to further the work the state has already accomplished to prevent AIS introductions through primary and secondary invasion pathways and to contain and control AIS that are already present. UW-Extension will play an important role in creating these tools and strategies and putting them into the hands of members of our AIS Prevention Network. As we learn more about each of the pathways of AIS, appropriate outreach methods will need to be developed and introduced to the partnership and directly to those engaged in specific pathways.|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
21|Aquatic Invasive Species Outreach|The Wisconsin Department of Natural Resources (WDNR), members of the AIS Partnership Network and volunteers store collected data in the WDNR's Surface Water Integrated Management System (SWIMS). The online database is used to collect a wide range of water related data for the state, including AIS monitoring reports, purple loosestrife biocontrol projects, stream and lake AIS signage projects, and other work that is often a deliverable of a WDNR AIS Education, Prevention and Planning grant. WDNR and partnership staffs are only recently learning how the database is useful beyond the collection of basic data. For each grant or project, it can contain the history of activities from project start to finish and include items such as personnel/project roles, specific work locations/actions, documents varying from press releases to final reports and maps, and AIS monitoring results that are fed directly to public facing webpages, including interactive maps. Beyond data collection, SWIMS acts as a work planning tool. The original SWIMS data manager left their position in early 2017. Various SWIMS project creation roles have been taken on by both WDNR Central Office and Regional staff, but no one had taken leadership of training WDNR AIS Coordinators or the AIS partners to use and manage the specific projects for the partnership. Working with staff from the Lakes and Rivers Section of the WDNR, I began developing training and piloting it in 2017 with two new AIS Coordinators from a grant funded partner and the WDNR AIS Coordinator who assists them. This educational effort will continue in 2019 to be expanded to new partners and additional WDNR staff. Because of my experience with the database as an AIS Coordinator and Monitoring Specialist with the WDNR, I'm in a unique position to provide this as a UW Extension educator. It is projected that by late 2019, SWIMS 2.0 will be out of production and ready for use. I anticipate assisting with training plans for the roll out in regards to AIS components.|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
22|Dairy and Livestock Management (2019)|Background information on Juneau County's part in the Central Wisconsin Agriculture Specialization (CWAS), which is a formal agreement with Adams, Green Lake, Marquette, Portage, Waushara, and Wood Counties. The Juneau County educator will mainly be focusing on creating educational programs and services that relate to dairy and crops in Juneau County as well as the six counties listed above. Each of the specialized agents in Adams, Green Lake, Marquette, Portage, Waushara, and Wood Counties have a topic area that they specialize in and create programs and services that go with their particular agriculture education fields: Adams offers agronomy and nutrient management; Green Lake offers commercial horticulture and nutrient management; Marquette offers livestock management; Portage offers vegetable production; Waushara offers farm business management; Wood offers dairy and cranberry production. In the beginning of 2019, the Waushara position was recently filled with a LTE position by the county, but there has been additional requests for time on the Adams, Green Lake, Juneau, Marquette, Portage, and Wood counties agriculture educators to help address local needs.In Juneau and Sauk Counties, on an annual basis, agriculture provides $348.6 billion (19.2% in Juneau Co.) and $865.3 million (13.8% in Sauk Co.) in each county's economic activity and $96.6 million (11.7% in Juneau Co.) and $331 million (10.4% in Sauk Co.) in each county's total income. Agriculture in Juneau County provides for 1,713 jobs (14.1%) of the county's workforce out of the 12,134 jobs as of 2014. In comparison, Sauk County Agriculture provides 5,463 jobs (11.7%) out of 46,653 jobs as of 2014.Note: The Juneau and Sauk Counties Educator has only transitioned to this 50/50 split position between the two county offices in mid-October. During this transition, the Educator has been trying to get to know key agriculture contacts in the counties and trying to get to know the county's needs. Meanwhile, hosting a few key programs this winter for certifications and licenses needed by the farmers.Just a reminder that there has not been a formal needs assessment done in a number of years for both counties and is a goal for the agricultural educator position this year. Making it difficult to determine the exact needs for the dairy and livestock industries. However, by going off of the 2012 census, milk was the first and second top selling commodity for Juneau and Sauk Counties. There is also 13 dairy product processing plants between the two counties and accounts for $92.1 million to Juneau County's economy and $348.9 million into Sauk County's economy. In comparison, livestock numbers for the counties show that livestock is an important part of the industry as well with cattle & calves placing in third and fourth top commodities for the two counties. Furthermore, hogs and pigs are ranked fourth for Sauk County's top commodities and ranks second in the state for hog and pig animal numbers. The 2012 Census of Agriculture states that Juneau is at 38% and Sauk County is at 66% for the market value of products sold. Making these important topics to look at and begin to create programming for in 2019. Reminder that in the beginning of 2019, Waushara had recently hired a LTE position, still placing additional requests for time on the Adams, Green Lake, Juneau, Marquette, Portage, and Wood counties agriculture educators to help address local needs in the CWAS area.|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
23|StrongBodies in Taylor County|In Taylor County I coordinate the StrongBodies Program to offer a low-cost strength training program for middle-aged and older adults across the county. StrongBodies an evidence-based strength training program for middle-aged and older adults to increase strength, muscle mass, bone density, and activities of daily living while decreasing risk for chronic diseases.|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
24|Field Crop Management|Scott Reuss serves as the Crops/Soils/Horticulture Agent for Marinette and Oconto Counties, through his role as Marinette County Agriculture/Horticulture Agent and an agricultural specialization agreement with Oconto County. The agricultural economic outlook for 2019 is still very poor for dairy producers, and unclear for grain producers. Dairy producers will struggle to maintain their operational viability, and will need to make forage management decisions that optimize their return on investment and achieve maximum forage quantity and/or quality. Included in these decisions will likely be re-plant or supplementation planting of perennial forage acres due to the winter die-back experienced in 2018 and also poor overwintering conditions at current. This adds even more economic stress and forage quality/quantity uncertainty to all area livestock producers. Grain producers have the constant challenge of managing costs while maintaining yield potential. Projected 2019 breakeven yields for grain crops are higher than long-term county averages (accounting for increasing yield trends) would indicate we will be able to produce. One educational need that will be addressed in 2019 is producer decision-making regarding Farm Service Agency programs made available to producers through the new Farm Bill. All producers will need to make decisions regarding their grain crop acres and UW-Extension will play a pivotal role in helping them understand the potential outcomes of that decision. Regarding nutrient management and soil health, a distinct opportunity for higher level programming is now available in the two-county area due to funding received through the Natural Resources Conservation Service for a sub-watershed improvement program (North Branch of the Little River). This NWQI (National Water Quality Initiative) effort will involve UW-Extension personnel taking a lead in producer education efforts surrounding the conservation efforts that can be cost-shared for implementation. 2019 is the first year of this 5-year effort.The desired outcomes in this plan of work are based on continuing local needs assessment via producer/agent interactions and the needs assessment surveys conducted in Oconto & Marinette (2014) and Shawano (2013) Counties. In those needs assessments, Shawano County producers indicated that their four highest educational topic needs related to: Grain Crops Pest Management; Soil Quality; Forage Crops Nutrient Management; and Forage Crops Pest Management. Oconto/Marinette County producers were asked to focus on dairy and livestock-oriented educational topic needs, but did indicate forage crop production information is still needed. They also indicated that the single most important role of UW-Extension within agricultural education is the education of non-agricultural citizenry. The second most important is to be a consistent source of information for producers, especially on a one-on-one basis. The specific activities within the outcomes listed below will be supplemented by agricultural newsletter articles, local newspaper articles, local radio shows, and electronic media information availability. In addition to the primary local educational roles, Reuss also serves on the state-wide Produce Safety Rule training team. In this role, he will be working with other UW-Extension and WI Department of Agriculture, Trade, and Consumer Protection staff to train & certify producers in the Produce Safety Alliance producer course and also conduct On-farm Readiness Reviews. This role will consume approximately 10-15% of his time in 2019, but is not spelled out in specifics here, as it is a state-wide initiative.|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
25|Farm Management 2019-2020|Multiple years of negativecash flow have many farmers and lenders evaluating options. Selling less productive land to non-farmersis one option, but could lead to more unplanned non-farm development and morerural landowner conflicts in the future. Low net farm income often brings more demand for information about cashlease, as well as buying or selling standing crops. The new USDA Farm bill also includes newrisk management tools for farmers.|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
26|Commercial Horticulture 2019|There are four different groups in Monroe County and surrounding area who are the target audience for commercial horticulture programming that I am part of. One of the groups is the cranberry growers, who have historically interacted directly with the specialists at UW. Occasionally I will get a call from them and will respond as needed. Fresh Market Vegetable and Fruit growers is another of the audiences. This group is primarily Amish, and I have worked with them for many years to help them with their crops. They primarily grow fresh market vegetables and flowers and bedding plants. They have become accomplished growers and the educational needs there have become more problem specific rather than basic production education like it was when they started. They grow a wide range of fresh market vegetables. Feedback from them has indicated that UW Extension is a highly valued resource for information. A current need for some Amish communities in the area is Food Safety and Modernization Act Training and Certification.Hops production in Wisconsin has had a great resurgence in the last 10 years as small craft brewers have increased their interest in Wisconsin produced hops to appeal to customers who appreciate local grown and local sourced foods and beverages. The hops growers have had to learn as they go because the majority of the current information on growing hops is from the Pacific northwest. One area of production I have helped to begin to address is that many acres of the hops are grown in coarse textured soils and nutrient leaching to groundwater is a concern on those soils. Hops growers do not want to be over fertilizing due to both environmental concerns and economic concerns. There are many other aspects of hops production that the group also assists with. We received a USDA Specialty Crop Block Grant to continue and expand the nitrogen rate trials for hops production in Wisconsin.The Ho-Chunk Native American Tribe has farm property in Monroe County and other counties as well and they are using the property near Tomah to begin to build and expand their Agriculture Division projects. They want to utilize their farm land for better opportunities than renting it out to other farmer to help provide better choices of food to tribal members, than what many of them, who are low income, may be able to get otherwise. I have worked with them for the past 4 years to help identify opportunities and implement a community garden in one of their housing subdivisions near Tomah. In late 2017 they set up funding for an Agriculture Division to begin additional larger scale fresh vegetable production projects at their Whirling Thunder Ranch property near Tomah.|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
